page_size,workers,iters,p50_ms,p90_ms,p99_ms,max_ms,ops_per_sec,errors
1,1,100,2.366,3.323,4.787,4.787,371.1,0
1,8,800,2.764,3.456,5.040,6.420,2655.6,0
1,16,1600,3.373,4.174,5.004,6.280,4347.2,0
1,24,2400,4.297,5.274,6.249,8.598,5183.1,0
1,32,3200,6.125,8.938,10.183,13.525,4716.5,0
1,48,4800,12.163,13.633,15.877,19.276,4032.5,0
1,64,6400,15.550,17.758,21.188,26.600,4186.9,0
10,1,100,15.038,19.180,24.073,24.073,63.2,0
10,8,800,15.482,18.953,22.549,27.108,497.7,0
10,16,1600,16.195,20.260,25.480,32.212,924.1,0
10,24,2400,17.760,22.103,27.245,35.994,1276.1,0
10,32,3200,24.723,34.752,41.845,49.145,1204.7,0
10,48,4800,46.169,56.133,65.849,78.836,1021.1,0
10,64,6400,61.535,75.042,88.099,102.501,1020.9,0
20,1,100,28.600,34.515,40.316,40.316,34.3,0
20,8,800,29.349,35.030,40.128,42.052,266.3,0
20,16,1600,30.548,36.743,43.317,58.238,506.0,0
20,24,2400,32.808,40.026,47.284,56.174,703.5,0
20,32,3200,54.051,67.208,77.751,87.272,579.7,0
20,48,4800,81.774,100.700,116.725,137.011,570.2,0
20,64,6400,108.672,135.189,156.868,183.191,572.4,0
